,Unnamed: 0,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
24,25,Folarin Balogun,"£ 30,000","£ 1,560,000","£ 1,560,000",F,20,England,Arsenal,Premier League,2021-2022
25,26,Nuno Tavares,"£ 26,923","£ 1,400,000","£ 1,400,000",D,22,Portugal,Arsenal,Premier League,2021-2022
26,27,Arthur Okonkwo,"£ 1,538","£ 80,000","£ 80,000",K,20,England,Arsenal,Premier League,2021-2022
0,1,Lucas Digne,"£ 160,000","£ 8,320,000","£ 8,320,000",D,28,France,Aston Villa,Premier League,2021-2022
1,2,Philippe Coutinho,"£ 125,000","£ 6,500,000","£ 6,500,000",F,29,Brazil,Aston Villa,Premier League,2021-2022
2,3,Danny Ings,"£ 120,000","£ 6,240,000","£ 6,240,000",F,29,England,Aston Villa,Premier League,2021-2022
3,4,Emiliano Martínez,"£ 120,000","£ 6,240,000","£ 6,240,000",K,29,Argentina,Aston Villa,Premier League,2021-2022
4,5,Leon Bailey,"£ 100,000","£ 5,200,000","£ 5,200,000",F,24,Jamaica,Aston Villa,Premier League,2021-2022
5,6,Matty Cash,"£ 80,000","£ 4,160,000","£ 4,160,000",D,24,Poland,Aston Villa,Premier League,2021-2022
6,7,Tyrone Mings,"£ 80,000","£ 4,160,000","£ 4,160,000",D,28,England,Aston Villa,Premier League,2021-2022
7,8,Bertrand Traoré,"£ 77,885","£ 4,050,000","£ 4,050,000",F,26,Burkina Faso,Aston Villa,Premier League,2021-2022
8,9,Emiliano Buendía,"£ 75,000","£ 3,900,000","£ 3,900,000",F,25,Argentina,Aston Villa,Premier League,2021-2022
9,10,Ollie Watkins,"£ 75,000","£ 3,900,000","£ 3,900,000",F,26,England,Aston Villa,Premier League,2021-2022
10,11,Douglas Luiz,"£ 75,000","£ 3,900,000","£ 3,900,000",M,23,Brazil,Aston Villa,Premier League,2021-2022
11,12,Jacob Ramsey,"£ 70,000","£ 3,640,000","£ 3,640,000",M,20,England,Aston Villa,Premier League,2021-2022
12,13,John McGinn,"£ 55,000","£ 2,860,000","£ 2,860,000",M,27,Scotland,Aston Villa,Premier League,2021-2022
13,14,Trezeguet,"£ 52,500","£ 2,730,000","£ 2,730,000",F,26,Egypt,Aston Villa,Premier League,2021-2022
14,15,Ashley Young,"£ 50,000","£ 2,600,000","£ 2,600,000",D,36,England,Aston Villa,Premier League,2021-2022
15,16,Axel Tuanzebe,"£ 50,000","£ 2,600,000","£ 2,600,000",D,23,England,Aston Villa,Premier League,2021-2022
16,17,Calum Chambers,"£ 50,000","£ 2,600,000","£ 2,600,000",D,27,England,Aston Villa,Premier League,2021-2022
17,18,Keinan Davis,"£ 45,000","£ 2,340,000","£ 2,340,000",F,23,England,Aston Villa,Premier League,2021-2022
18,19,Morgan Sanson,"£ 45,000","£ 2,340,000","£ 2,340,000",M,27,France,Aston Villa,Premier League,2021-2022
19,20,Matt Targett,"£ 35,000","£ 1,820,000","£ 1,820,000",D,25,England,Aston Villa,Premier League,2021-2022
20,21,Anwar El Ghazi,"£ 30,962","£ 1,610,000","£ 1,610,000",F,26,Netherlands,Aston Villa,Premier League,2021-2022
21,22,Marvelous Nakamba,"£ 30,000","£ 1,560,000","£ 1,560,000",M,28,Zimbabwe,Aston Villa,Premier League,2021-2022
22,23,Ezri Konsa,"£ 30,000","£ 1,560,000","£ 1,560,000",D,24,England,Aston Villa,Premier League,2021-2022
23,24,Robin Olsen,"£ 20,000","£ 1,040,000","£ 1,040,000",K,32,Sweden,Aston Villa,Premier League,2021-2022
24,25,Jed Steer,"£ 20,000","£ 1,040,000","£ 1,040,000",K,28,England,Aston Villa,Premier League,2021-2022
25,26,Kortney Hause,"£ 8,077","£ 420,000","£ 420,000",D,26,England,Aston Villa,Premier League,2021-2022
26,27,Carney Chukwuemeka,"£ 1,538","£ 80,000","£ 80,000",M,18,England,Aston Villa,Premier League,2021-2022
0,1,Bryan Mbeumo,"£ 45,000","£ 2,340,000","£ 2,340,000",F,22,France,Brentford,Premier League,2021-2022
1,2,Rico Henry,"£ 35,000","£ 1,820,000","£ 1,820,000",D,24,England,Brentford,Premier League,2021-2022
2,3,Christian Nörgaard,"£ 35,000","£ 1,820,000","£ 1,820,000",M,27,Denmark,Brentford,Premier League,2021-2022
3,4,Kristoffer Ajer,"£ 35,000","£ 1,820,000","£ 1,820,000",D,23,Norway,Brentford,Premier League,2021-2022
4,5,Vitaly Janelt,"£ 30,000","£ 1,560,000","£ 1,560,000",M,23,Germany,Brentford,Premier League,2021-2022
5,6,Christian Eriksen,"£ 30,000","£ 1,560,000","£ 1,560,000",F,29,Denmark,Brentford,Premier League,2021-2022
6,7,David Raya,"£ 25,000","£ 1,300,000","£ 1,300,000",K,26,Spain,Brentford,Premier League,2021-2022
7,8,Pontus Jansson,"£ 25,000","£ 1,300,000","£ 1,300,000",D,30,Sweden,Brentford,Premier League,2021-2022
8,9,Frank Onyeka,"£ 25,000","£ 1,300,000","£ 1,300,000",M,24,Nigeria,Brentford,Premier League,2021-2022
9,10,Sergi Canós,"£ 25,000","£ 1,300,000","£ 1,300,000",F,25,Spain,Brentford,Premier League,2021-2022
10,11,Yoane Wissa,"£ 20,000","£ 1,040,000","£ 1,040,000",F,25,Democratic Republic of the Congo,Brentford,Premier League,2021-2022
11,12,Joshua Da Silva,"£ 20,000","£ 1,040,000","£ 1,040,000",M,23,England,Brentford,Premier League,2021-2022
12,13,Ivan Toney,"£ 20,000","£ 1,040,000","£ 1,040,000",F,25,England,Brentford,Premier League,2021-2022
13,14,Mathias Jensen,"£ 20,000","£ 1,040,000","£ 1,040,000",M,26,Denmark,Brentford,Premier League,2021-2022
14,15,Zanka,"£ 15,000","£ 780,000","£ 780,000",D,31,Denmark,Brentford,Premier League,2021-2022
15,16,Ethan Pinnock,"£ 15,000","£ 780,000","£ 780,000",D,28,Jamaica,Brentford,Premier League,2021-2022
16,17,Joel Valencia,"£ 15,000","£ 780,000","£ 780,000",F,26,Ecuador,Brentford,Premier League,2021-2022
17,18,Saman Ghoddos,"£ 15,000","£ 780,000","£ 780,000",F,28,Iran,Brentford,Premier League,2021-2022
18,19,Shandon Baptiste,"£ 15,000","£ 780,000","£ 780,000",M,23,Grenada,Brentford,Premier League,2021-2022
19,20,Mads Bidstrup,"£ 10,000","£ 520,000","£ 520,000",M,20,Denmark,Brentford,Premier League,2021-2022
20,21,Mads Roerslev Rasmussen,"£ 10,000","£ 520,000","£ 520,000",D,22,Denmark,Brentford,Premier League,2021-2022
21,22,Álvaro Fernández,"£ 8,462","£ 440,000","£ 440,000",K,23,Spain,Brentford,Premier League,2021-2022
22,23,Charlie Goode,"£ 8,000","£ 416,000","£ 416,000",D,26,England,Brentford,Premier League,2021-2022
23,24,Julian Jeanvier,"£ 6,154","£ 320,000","£ 320,000",D,29,Guinea,Brentford,Premier League,2021-2022
24,25,Fin Stevens,"£ 5,385","£ 280,000","£ 280,000",D,18,Wales,Brentford,Premier League,2021-2022
25,26,Luka Racic,"£ 5,000","£ 260,000","£ 260,000",D,22,Denmark,Brentford,Premier League,2021-2022
26,27,Marcus Forss,"£ 5,000","£ 260,000","£ 260,000",F,22,Finland,Brentford,Premier League,2021-2022
27,28,Myles Peart-Harris,"£ 5,000","£ 260,000","£ 260,000",F,18,England,Brentford,Premier League,2021-2022
28,29,Tariqe Fosu,"£ 5,000","£ 260,000","£ 260,000",F,26,Ghana,Brentford,Premier League,2021-2022
29,30,Mads Bech Sörensen,"£ 4,038","£ 210,000","£ 210,000",D,23,Denmark,Brentford,Premier League,2021-2022
30,31,Dominic Thompson,"£ 3,462","£ 180,000","£ 180,000",D,21,England,Brentford,Premier League,2021-2022
31,32,Ellery Balcombe,"£ 3,269","£ 170,000","£ 170,000",K,22,England,Brentford,Premier League,2021-2022
32,33,Jan Zamburek,"£ 3,077","£ 160,000","£ 160,000",M,20,Czech Republic,Brentford,Premier League,2021-2022
33,34,Jonas Lössl,"£ 1,731","£ 90,000","£ 90,000",K,33,Denmark,Brentford,Premier League,2021-2022
0,1,Adam Lallana,"£ 90,000","£ 4,680,000","£ 4,680,000",F,33,England,Brighton,Premier League,2021-2022
1,2,Lewis Dunk,"£ 75,000","£ 3,900,000","£ 3,900,000",D,30,England,Brighton,Premier League,2021-2022
2,3,Danny Welbeck,"£ 55,000","£ 2,860,000","£ 2,860,000",F,31,England,Brighton,Premier League,2021-2022
3,4,Adam Webster,"£ 55,000","£ 2,860,000","£ 2,860,000",D,27,England,Brighton,Premier League,2021-2022
4,5,Pascal Groß,"£ 50,000","£ 2,600,000","£ 2,600,000",M,30,Germany,Brighton,Premier League,2021-2022
5,6,Marc Cucurella,"£ 50,000","£ 2,600,000","£ 2,600,000",D,23,Spain,Brighton,Premier League,2021-2022
6,7,Jürgen Locadia,"£ 45,000","£ 2,340,000","£ 2,340,000",F,27,Netherlands,Brighton,Premier League,2021-2022
7,8,Leandro Trossard,"£ 40,000","£ 2,080,000","£ 2,080,000",F,27,Belgium,Brighton,Premier League,2021-2022
8,9,Solly March,"£ 40,000","£ 2,080,000","£ 2,080,000",M,27,England,Brighton,Premier League,2021-2022
9,10,Shane Duffy,"£ 40,000","£ 2,080,000","£ 2,080,000",D,30,Ireland,Brighton,Premier League,2021-2022
10,11,Joël Veltman,"£ 40,000","£ 2,080,000","£ 2,080,000",D,30,Netherlands,Brighton,Premier League,2021-2022
11,12,Tudor Baluta,"£ 35,192","£ 1,830,000","£ 1,830,000",M,22,Romania,Brighton,Premier League,2021-2022
12,13,Neal Maupay,"£ 35,000","£ 1,820,000","£ 1,820,000",F,25,France,Brighton,Premier League,2021-2022
13,14,Tariq Lamptey,"£ 35,000","£ 1,820,000","£ 1,820,000",D,21,England,Brighton,Premier League,2021-2022
14,15,Enock Mwepu,"£ 30,769","£ 1,600,000","£ 1,600,000",M,24,Zambia,Brighton,Premier League,2021-2022
15,16,Alexis Mac Allister,"£ 30,000","£ 1,560,000","£ 1,560,000",F,23,Argentina,Brighton,Premier League,2021-2022
16,17,Haydon Roberts,"£ 29,231","£ 1,520,000","£ 1,520,000",D,19,England,Brighton,Premier League,2021-2022
17,18,Yves Bissouma,"£ 25,000","£ 1,300,000","£ 1,300,000",M,25,Mali,Brighton,Premier League,2021-2022
18,19,Robert Sánchez,"£ 25,000","£ 1,300,000","£ 1,300,000",K,24,Spain,Brighton,Premier League,2021-2022
19,20,Aaron Connolly,"£ 23,077","£ 1,200,000","£ 1,200,000",F,21,Ireland,Brighton,Premier League,2021-2022
20,21,Jason Steele,"£ 20,000","£ 1,040,000","£ 1,040,000",K,31,England,Brighton,Premier League,2021-2022
21,22,Kjell Scherpen,"£ 20,000","£ 1,040,000","£ 1,040,000",K,21,Netherlands,Brighton,Premier League,2021-2022
22,23,Taylor Richards,"£ 15,000","£ 780,000","£ 780,000",M,20,England,Brighton,Premier League,2021-2022
23,24,Moisés Caicedo,"£ 15,000","£ 780,000","£ 780,000",M,20,Ecuador,Brighton,Premier League,2021-2022
24,25,Steven Alzate,"£ 15,000","£ 780,000","£ 780,000",M,23,Colombia,Brighton,Premier League,2021-2022
25,26,Dan Burn,"£ 15,000","£ 780,000","£ 780,000",D,29,England,Brighton,Premier League,2021-2022
26,27,Jakub Moder,"£ 10,000","£ 520,000","£ 520,000",M,22,Poland,Brighton,Premier League,2021-2022
27,28,Billy Arce,"£ 4,808","£ 250,000","£ 250,000",F,23,Ecuador,Brighton,Premier League,2021-2022
0,1,Ben Mee,"£ 55,000","£ 2,860,000","£ 2,860,000",D,32,England,Burnley,Premier League,2021-2022
1,2,Maxwel Cornet,"£ 50,000","£ 2,600,000","£ 2,600,000",F,25,Cote d'Ivoire,Burnley,Premier League,2021-2022
2,3,James Tarkowski,"£ 50,000","£ 2,600,000","£ 2,600,000",D,29,England,Burnley,Premier League,2021-2022
3,4,Chris Wood,"£ 50,000","£ 2,600,000","£ 2,600,000",F,29,New Zealand,Burnley,Premier League,2021-2022
4,5,Erik Pieters,"£ 48,077","£ 2,500,000","£ 2,500,000",D,33,Netherlands,Burnley,Premier League,2021-2022
5,6,Ashley Barnes,"£ 40,000","£ 2,080,000","£ 2,080,000",F,32,England,Burnley,Premier League,2021-2022
6,7,Josh Brownhill,"£ 40,000","£ 2,080,000","£ 2,080,000",M,26,England,Burnley,Premier League,2021-2022
7,8,Jack Cork,"£ 38,077","£ 1,980,000","£ 1,980,000",M,32,England,Burnley,Premier League,2021-2022
8,9,Dale Stephens,"£ 37,500","£ 1,950,000","£ 1,950,000",M,32,England,Burnley,Premier League,2021-2022
9,10,Ashley Westwood,"£ 35,962","£ 1,870,000","£ 1,870,000",M,31,England,Burnley,Premier League,2021-2022
10,11,Matej Vydra,"£ 35,000","£ 1,820,000","£ 1,820,000",F,29,Czech Republic,Burnley,Premier League,2021-2022
11,12,Jay Rodríguez,"£ 35,000","£ 1,820,000","£ 1,820,000",F,32,England,Burnley,Premier League,2021-2022
12,13,Wout Weghorst,"£ 32,692","£ 1,700,000","£ 1,700,000",F,29,Netherlands,Burnley,Premier League,2021-2022
13,14,Jóhann Berg Gudmundsson,"£ 30,000","£ 1,560,000","£ 1,560,000",F,31,Iceland,Burnley,Premier League,2021-2022
14,15,Nick Pope,"£ 30,000","£ 1,560,000","£ 1,560,000",K,29,England,Burnley,Premier League,2021-2022
15,16,Connor Roberts,"£ 26,154","£ 1,360,000","£ 1,360,000",D,26,Wales,Burnley,Premier League,2021-2022
16,17,Matthew Lowton,"£ 25,000","£ 1,300,000","£ 1,300,000",D,32,England,Burnley,Premier League,2021-2022
17,18,Phil Bardsley,"£ 25,000","£ 1,300,000","£ 1,300,000",D,36,Scotland,Burnley,Premier League,2021-2022
18,19,Charlie Taylor,"£ 25,000","£ 1,300,000","£ 1,300,000",D,28,England,Burnley,Premier League,2021-2022
19,20,Kevin Long,"£ 23,077","£ 1,200,000","£ 1,200,000",D,31,Ireland,Burnley,Premier League,2021-2022
20,21,Wayne Hennessey,"£ 20,000","£ 1,040,000","£ 1,040,000",K,35,Wales,Burnley,Premier League,2021-2022
21,22,Aaron Lennon,"£ 10,577","£ 550,000","£ 550,000",F,34,England,Burnley,Premier League,2021-2022
22,23,Nathan Collins,"£ 10,000","£ 520,000","£ 520,000",D,20,Ireland,Burnley,Premier League,2021-2022
23,24,Will Norris,"£ 5,769","£ 300,000","£ 300,000",K,28,England,Burnley,Premier League,2021-2022
24,25,Dwight McNeil,"£ 5,000","£ 260,000","£ 260,000",F,22,England,Burnley,Premier League,2021-2022
0,1,Romelu Lukaku,"£ 325,000","£ 16,900,000","£ 16,900,000",F,28,Belgium,Chelsea,Premier League,2021-2022
1,2,N'Golo Kanté,"£ 290,000","£ 15,080,000","£ 15,080,000",M,30,France,Chelsea,Premier League,2021-2022
2,3,Timo Werner,"£ 271,923","£ 14,140,000","£ 14,140,000",F,25,Germany,Chelsea,Premier League,2021-2022
3,4,Saúl Ñíguez,"£ 198,269","£ 10,310,000","£ 10,310,000",M,27,Spain,Chelsea,Premier League,2021-2022
4,5,Ben Chilwell,"£ 190,000","£ 9,880,000","£ 9,880,000",D,25,England,Chelsea,Premier League,2021-2022
5,6,Callum Hudson-Odoi,"£ 180,000","£ 9,360,000","£ 9,360,000",F,21,England,Chelsea,Premier League,2021-2022
6,7,Kai Havertz,"£ 150,000","£ 7,800,000","£ 7,800,000",F,22,Germany,Chelsea,Premier League,2021-2022
7,8,César Azpilicueta,"£ 150,000","£ 7,800,000","£ 7,800,000",D,32,Spain,Chelsea,Premier League,2021-2022
8,9,Christian Pulisic,"£ 150,000","£ 7,800,000","£ 7,800,000",F,23,United States,Chelsea,Premier League,2021-2022
9,10,Kepa Arrizabalaga,"£ 150,000","£ 7,800,000","£ 7,800,000",K,27,Spain,Chelsea,Premier League,2021-2022
10,11,Ruben Loftus-Cheek,"£ 120,000","£ 6,240,000","£ 6,240,000",M,26,England,Chelsea,Premier League,2021-2022
11,12,Malang Sarr,"£ 120,000","£ 6,240,000","£ 6,240,000",D,23,France,Chelsea,Premier League,2021-2022
12,13,Thiago Silva,"£ 110,000","£ 5,720,000","£ 5,720,000",D,37,Brazil,Chelsea,Premier League,2021-2022
13,14,Jorginho,"£ 110,000","£ 5,720,000","£ 5,720,000",M,30,Italy,Chelsea,Premier League,2021-2022
14,15,Mateo Kovacic,"£ 100,000","£ 5,200,000","£ 5,200,000",M,27,Croatia,Chelsea,Premier League,2021-2022
15,16,Marcos Alonso,"£ 100,000","£ 5,200,000","£ 5,200,000",D,31,Spain,Chelsea,Premier League,2021-2022
16,17,Hakim Ziyech,"£ 100,000","£ 5,200,000","£ 5,200,000",F,28,Morocco,Chelsea,Premier League,2021-2022
17,18,Reece James,"£ 100,000","£ 5,200,000","£ 5,200,000",D,22,England,Chelsea,Premier League,2021-2022
18,19,Antonio Rüdiger,"£ 100,000","£ 5,200,000","£ 5,200,000",D,28,Germany,Chelsea,Premier League,2021-2022
19,20,Ross Barkley,"£ 96,154","£ 5,000,000","£ 5,000,000",M,28,England,Chelsea,Premier League,2021-2022
20,21,Andreas Christensen,"£ 80,000","£ 4,160,000","£ 4,160,000",D,25,Denmark,Chelsea,Premier League,2021-2022
21,22,Mason Mount,"£ 80,000","£ 4,160,000","£ 4,160,000",F,23,England,Chelsea,Premier League,2021-2022
22,23,Edouard Mendy,"£ 55,000","£ 2,860,000","£ 2,860,000",K,29,Senegal,Chelsea,Premier League,2021-2022
23,24,Lewis Baker,"£ 43,269","£ 2,250,000","£ 2,250,000",M,26,England,Chelsea,Premier League,2021-2022
24,25,Charly Musonda Jr,"£ 40,000","£ 2,080,000","£ 2,080,000",F,25,Belgium,Chelsea,Premier League,2021-2022
25,26,Marcus Bettinelli,"£ 35,000","£ 1,820,000","£ 1,820,000",K,29,England,Chelsea,Premier League,2021-2022
26,27,Trevoh Chalobah,"£ 35,000","£ 1,820,000","£ 1,820,000",D,22,England,Chelsea,Premier League,2021-2022
27,28,Kenedy,"£ 25,000","£ 1,300,000","£ 1,300,000",M,25,Brazil,Chelsea,Premier League,2021-2022
0,1,Wilfried Zaha,"£ 130,000","£ 6,760,000","£ 6,760,000",F,29,Cote d'Ivoire,Crystal Palace,Premier League,2021-2022
1,2,Christian Benteke,"£ 120,000","£ 6,240,000","£ 6,240,000",F,31,Belgium,Crystal Palace,Premier League,2021-2022
2,3,Odsonne Edouard,"£ 90,000","£ 4,680,000","£ 4,680,000",F,24,France,Crystal Palace,Premier League,2021-2022
3,4,Nathaniel Clyne,"£ 80,000","£ 4,160,000","£ 4,160,000",D,30,England,Crystal Palace,Premier League,2021-2022
4,5,Joachim Andersen,"£ 80,000","£ 4,160,000","£ 4,160,000",D,25,Denmark,Crystal Palace,Premier League,2021-2022
5,6,Luka Milivojevic,"£ 75,000","£ 3,900,000","£ 3,900,000",M,30,Serbia,Crystal Palace,Premier League,2021-2022
6,7,Vicente Guaita,"£ 75,000","£ 3,900,000","£ 3,900,000",K,35,Spain,Crystal Palace,Premier League,2021-2022
7,8,Cheikhou Kouyaté,"£ 65,000","£ 3,380,000","£ 3,380,000",M,32,Senegal,Crystal Palace,Premier League,2021-2022
8,9,Jairo Riedewald,"£ 55,000","£ 2,860,000","£ 2,860,000",M,25,Netherlands,Crystal Palace,Premier League,2021-2022
9,10,James McArthur,"£ 55,000","£ 2,860,000","£ 2,860,000",M,34,Scotland,Crystal Palace,Premier League,2021-2022
10,11,Marc Guehi,"£ 50,000","£ 2,600,000","£ 2,600,000",D,21,England,Crystal Palace,Premier League,2021-2022
11,12,James Tomkins,"£ 50,000","£ 2,600,000","£ 2,600,000",D,32,England,Crystal Palace,Premier League,2021-2022
12,13,Jean-Philippe Mateta,"£ 50,000","£ 2,600,000","£ 2,600,000",F,24,France,Crystal Palace,Premier League,2021-2022
13,14,Jeffrey Schlupp,"£ 50,000","£ 2,600,000","£ 2,600,000",M,29,Ghana,Crystal Palace,Premier League,2021-2022
14,15,Michael Olise,"£ 45,000","£ 2,340,000","£ 2,340,000",F,20,France,Crystal Palace,Premier League,2021-2022
15,16,Tyrick Mitchell,"£ 40,000","£ 2,080,000","£ 2,080,000",D,22,England,Crystal Palace,Premier League,2021-2022
16,17,Will Hughes,"£ 35,000","£ 1,820,000","£ 1,820,000",M,26,England,Crystal Palace,Premier League,2021-2022
17,18,Jack Butland,"£ 35,000","£ 1,820,000","£ 1,820,000",K,28,England,Crystal Palace,Premier League,2021-2022
18,19,Joel Ward,"£ 35,000","£ 1,820,000","£ 1,820,000",D,32,England,Crystal Palace,Premier League,2021-2022
19,20,Jordan Ayew,"£ 35,000","£ 1,820,000","£ 1,820,000",F,30,Ghana,Crystal Palace,Premier League,2021-2022
20,21,Eberechi Eze,"£ 30,000","£ 1,560,000","£ 1,560,000",F,23,England,Crystal Palace,Premier League,2021-2022
21,22,Conor Gallagher,"£ 30,000","£ 1,560,000","£ 1,560,000",M,21,England,Crystal Palace,Premier League,2021-2022
22,23,Nathan Ferguson,"£ 25,000","£ 1,300,000","£ 1,300,000",D,21,England,Crystal Palace,Premier League,2021-2022
23,24,Martin Kelly,"£ 25,000","£ 1,300,000","£ 1,300,000",D,31,England,Crystal Palace,Premier League,2021-2022
24,25,Jaroslaw Jach,"£ 17,500","£ 910,000","£ 910,000",D,27,Poland,Crystal Palace,Premier League,2021-2022
25,26,Remi Matthews,"£ 5,385","£ 280,000","£ 280,000",K,27,England,Crystal Palace,Premier League,2021-2022
0,1,Abdoulaye Doucouré,"£ 120,000","£ 6,240,000","£ 6,240,000",M,29,France,Everton,Premier League,2021-2022
1,2,Alex Iwobi,"£ 120,000","£ 6,240,000","£ 6,240,000",F,25,Nigeria,Everton,Premier League,2021-2022
2,3,Donny van de Beek,"£ 120,000","£ 6,240,000","£ 6,240,000",M,24,Netherlands,Everton,Premier League,2021-2022
3,4,Yerry Mina,"£ 120,000","£ 6,240,000","£ 6,240,000",D,27,Colombia,Everton,Premier League,2021-2022
4,5,André Gomes,"£ 112,308","£ 5,840,000","£ 5,840,000",M,28,Portugal,Everton,Premier League,2021-2022
5,6,Dele Alli,"£ 100,000","£ 5,200,000","£ 5,200,000",F,25,England,Everton,Premier League,2021-2022
6,7,Jordan Pickford,"£ 100,000","£ 5,200,000","£ 5,200,000",K,27,England,Everton,Premier League,2021-2022
7,8,Gylfi Sigurdsson,"£ 100,000","£ 5,200,000","£ 5,200,000",F,32,Iceland,Everton,Premier League,2021-2022
8,9,Dominic Calvert-Lewin,"£ 100,000","£ 5,200,000","£ 5,200,000",F,24,England,Everton,Premier League,2021-2022
9,10,Lucas Digne,"£ 90,000","£ 4,680,000","£ 4,680,000",D,28,France,Everton,Premier League,2021-2022
10,11,Richarlison,"£ 90,000","£ 4,680,000","£ 4,680,000",F,24,Brazil,Everton,Premier League,2021-2022
11,12,Michael Keane,"£ 80,000","£ 4,160,000","£ 4,160,000",D,29,England,Everton,Premier League,2021-2022
12,13,Salomón Rondón,"£ 80,000","£ 4,160,000","£ 4,160,000",F,32,Venezuela,Everton,Premier League,2021-2022
13,14,Fabian Delph,"£ 80,000","£ 4,160,000","£ 4,160,000",M,32,England,Everton,Premier League,2021-2022
14,15,Ben Godfrey,"£ 75,000","£ 3,900,000","£ 3,900,000",D,24,England,Everton,Premier League,2021-2022
15,16,Jean-Philippe Gbamin,"£ 75,000","£ 3,900,000","£ 3,900,000",M,26,Cote d'Ivoire,Everton,Premier League,2021-2022
16,17,Allan,"£ 70,000","£ 3,640,000","£ 3,640,000",M,31,Brazil,Everton,Premier League,2021-2022
17,18,Mason Holgate,"£ 70,000","£ 3,640,000","£ 3,640,000",D,25,England,Everton,Premier League,2021-2022
18,19,Cenk Tosun,"£ 60,000","£ 3,120,000","£ 3,120,000",F,30,Turkey,Everton,Premier League,2021-2022
19,20,Vitaliy Mykolenko,"£ 58,000","£ 3,016,000","£ 3,016,000",D,22,Ukraine,Everton,Premier League,2021-2022
20,21,Seamus Coleman,"£ 55,000","£ 2,860,000","£ 2,860,000",D,33,Ireland,Everton,Premier League,2021-2022
21,22,Asmir Begovic,"£ 45,000","£ 2,340,000","£ 2,340,000",K,34,Bosnia-Herzegovina,Everton,Premier League,2021-2022
22,23,Andros Townsend,"£ 40,000","£ 2,080,000","£ 2,080,000",F,30,England,Everton,Premier League,2021-2022
23,24,Anwar El Ghazi,"£ 30,962","£ 1,610,000","£ 1,610,000",F,26,Netherlands,Everton,Premier League,2021-2022
